,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.BR.8484.01,0.2165,0.7295,1.053,0.119,8.4276,0.0415
TCGA.BR.8077.01,0.0782,0.8684,0.5628,0.2491,21.3687,0.0051
TCGA.IP.7968.01,0.0207,0.7537,0.7801,0.121,5.3648,0
TCGA.VQ.AA64.01,0.0032,6.8722,1.7162,0.1173,1.4387,0.0308
TCGA.RD.A8NB.01,0.1178,1.158,0.7694,0.2734,1.7516,0.1234
TCGA.HU.A4H0.01,0.0123,0.0182,0.0886,0.059,2.5233,0.009
TCGA.BR.4369.01,0.2964,0.7701,10.4549,0.07,27.2225,0.0275
TCGA.D7.A6EV.01,0.0455,0.3468,0.1353,0.1491,1.2844,0.0037
TCGA.BR.4361.01,0.1177,2.9275,0.811,0.151,3.7992,0.043
TCGA.VQ.A8PQ.01,0.049,2.6126,2.689,0.2122,9.3985,0
TCGA.BR.8592.01,0.0898,3.4195,2.2052,0.31,10.6593,0.0313
TCGA.FP.8209.01,0.0931,2.9953,1.2303,0.2638,8.828,0.1513
TCGA.BR.8059.01,0.0277,2.0539,0.9001,0.098,1.1756,0.018
TCGA.BR.6801.01,0.0246,0.8191,0.2191,0.0783,1.8587,0.0048
TCGA.FP.8211.01,0.0324,0.3288,0.3936,0.0474,1.3119,0.004
TCGA.CG.5717.01,0.113,0.6589,0.8514,0.2034,9.3,0.0048
TCGA.BR.8081.01,0.0241,1.6553,1.8735,0.2991,2.9019,0.0196
TCGA.CG.5719.01,0.1322,7.6195,1.9227,0.2489,6.1922,0.0117
TCGA.BR.8368.01,0.0619,0.61,0.4405,0.0575,2.0762,0.0226
TCGA.D7.8575.01,0.1077,0.1919,0.329,0.0763,9.1334,0.0175
TCGA.HU.A4H4.01,0.0892,0.313,2.1548,0.2679,0.2833,0
TCGA.VQ.A925.01,0.0363,0.9955,0.057,0.0386,4.1331,0.003
TCGA.BR.6710.01,0,0.6471,0.082,0.0791,11.9532,0.0323
TCGA.RD.A7BT.01,0.0504,0.1418,0.245,0.0243,11.573,0
TCGA.CG.4438.01,0.0289,0.3155,0.6015,0.1167,15.7558,0.0733
TCGA.VQ.A8PB.01,0.0282,0.5919,0.9631,0.1499,0.3803,0
TCGA.CD.A4MG.01,0.0166,3.5072,1.4393,0.4937,1.5318,0.0162
TCGA.BR.8679.01,0.0073,2.1,0.7918,0.3164,6.065,0.0213
TCGA.VQ.A8P8.01,0.1502,0.4509,0.457,0.376,2.164,0.0105
TCGA.HU.A4GJ.01,0.0587,0.3338,0.2824,0.1336,4.3181,0.0245
TCGA.BR.6457.01,0.0119,9.7394,4.7385,0.3025,7.3321,0.0463
TCGA.HF.7131.01,0.1601,0.1467,0.0729,0.0368,15.6141,0
TCGA.BR.7851.01,0.058,1.1719,0.488,0.1275,2.2766,0
TCGA.CD.8530.01,0.0224,4.1366,0.8124,0.3665,4.5661,0.0743
TCGA.FP.A4BF.01,0.1339,4.0642,2.2126,0.2976,7.1341,0.0408
TCGA.CG.5724.01,0.1102,2.7528,1.0093,0.0994,0.9822,0.0161
TCGA.RD.A8MW.01,0.056,2.1336,1.485,0.3269,0.6922,0.0273
