nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000210082	NA	brown
ENSG00000198712	NA	brown
ENSG00000198727	NA	brown
ENSG00000198786	NA	brown
ENSG00000198763	NA	brown
ENSG00000198695	NA	brown
ENSG00000198744	NA	brown
ENSG00000178982	NA	brown
ENSG00000009307	NA	brown
ENSG00000183093	NA	brown
ENSG00000165119	NA	brown
ENSG00000086598	NA	brown
ENSG00000101294	NA	brown
ENSG00000173272	NA	brown
ENSG00000078808	NA	brown
ENSG00000184432	NA	brown
ENSG00000082153	NA	brown
ENSG00000100401	NA	brown
ENSG00000162191	NA	brown
ENSG00000100764	NA	brown
ENSG00000079785	NA	brown
ENSG00000170606	NA	brown
ENSG00000086232	NA	brown
ENSG00000077147	NA	brown
ENSG00000069329	NA	brown
ENSG00000092201	NA	brown
ENSG00000205339	NA	brown
ENSG00000077312	NA	brown
ENSG00000182457	NA	brown
ENSG00000186298	NA	brown
ENSG00000076944	NA	brown
ENSG00000092199	NA	brown
ENSG00000100519	NA	brown
ENSG00000182979	NA	brown
ENSG00000073969	NA	brown
ENSG00000174780	NA	brown
ENSG00000100941	NA	brown
ENSG00000100883	NA	brown
ENSG00000077097	NA	brown
ENSG00000189015	NA	brown
ENSG00000187555	NA	brown
ENSG00000090060	NA	brown
ENSG00000179195	NA	brown
ENSG00000167635	NA	brown
ENSG00000100664	NA	brown
ENSG00000101126	NA	brown
ENSG00000198408	NA	brown
ENSG00000166181	NA	brown
ENSG00000084733	NA	brown
ENSG00000163683	NA	brown
ENSG00000079332	NA	brown
ENSG00000169682	NA	brown
ENSG00000010017	NA	brown
ENSG00000087502	NA	brown
ENSG00000182149	NA	brown
ENSG00000005955	NA	brown
ENSG00000084073	NA	brown
ENSG00000092108	NA	brown
ENSG00000164944	NA	brown
ENSG00000185359	NA	brown
ENSG00000185298	NA	brown
ENSG00000178913	NA	brown
ENSG00000180370	NA	brown
ENSG00000198546	NA	brown
ENSG00000077232	NA	brown
ENSG00000008952	NA	brown
ENSG00000099246	NA	brown
ENSG00000075711	NA	brown
ENSG00000198301	NA	brown
ENSG00000180329	NA	brown
ENSG00000076201	NA	brown
ENSG00000092148	NA	brown
ENSG00000068878	NA	brown
ENSG00000185728	NA	brown
ENSG00000066777	NA	brown
ENSG00000164244	NA	brown
ENSG00000169251	NA	brown
ENSG00000006451	NA	brown
ENSG00000068489	NA	brown
ENSG00000198730	NA	brown
ENSG00000172466	NA	brown
ENSG00000099219	NA	brown
ENSG00000174953	NA	brown
ENSG00000198015	NA	brown
ENSG00000176105	NA	brown
ENSG00000162735	NA	brown
ENSG00000166747	NA	brown
ENSG00000164941	NA	brown
ENSG00000169398	NA	brown
ENSG00000172239	NA	brown
ENSG00000198836	NA	brown
ENSG00000165209	NA	brown
ENSG00000196914	NA	brown
ENSG00000177576	NA	brown
ENSG00000085491	NA	brown
ENSG00000077514	NA	brown
ENSG00000006715	NA	brown
ENSG00000095564	NA	brown
ENSG00000164134	NA	brown
ENSG00000197601	NA	brown
ENSG00000067248	NA	brown
ENSG00000173715	NA	brown
ENSG00000071537	NA	brown
ENSG00000182670	NA	brown
ENSG00000160087	NA	brown
ENSG00000198954	NA	brown
ENSG00000156171	NA	brown
ENSG00000068912	NA	brown
ENSG00000156052	NA	brown
ENSG00000092531	NA	brown
ENSG00000208098	NA	brown
ENSG00000183735	NA	brown
ENSG00000166848	NA	brown
ENSG00000172262	NA	brown
ENSG00000165874	NA	brown
ENSG00000165487	NA	brown
ENSG00000183309	NA	brown
ENSG00000166483	NA	brown
ENSG00000173230	NA	brown
ENSG00000182831	NA	brown
ENSG00000101343	NA	brown
ENSG00000095261	NA	brown
ENSG00000075292	NA	brown
ENSG00000189057	NA	brown
ENSG00000170242	NA	brown
ENSG00000166971	NA	brown
ENSG00000198604	NA	brown
ENSG00000167766	NA	brown
ENSG00000198589	NA	brown
ENSG00000163558	NA	brown
ENSG00000166526	NA	brown
ENSG00000083896	NA	brown
ENSG00000166454	NA	brown
ENSG00000100744	NA	brown
ENSG00000079134	NA	brown
ENSG00000072364	NA	brown
ENSG00000067900	NA	brown
ENSG00000184886	NA	brown
ENSG00000157625	NA	brown
ENSG00000204120	NA	brown
ENSG00000204178	NA	brown
ENSG00000164077	NA	brown
ENSG00000163602	NA	brown
ENSG00000172086	NA	brown
ENSG00000005812	NA	brown
ENSG00000174738	NA	brown
ENSG00000164219	NA	brown
ENSG00000164654	NA	brown
ENSG00000196586	NA	brown
ENSG00000188010	NA	brown
ENSG00000197775	NA	brown
ENSG00000198087	NA	brown
ENSG00000156162	NA	brown
ENSG00000081307	NA	brown
ENSG00000077254	NA	brown
ENSG00000198060	NA	brown
ENSG00000162227	NA	brown
ENSG00000196792	NA	brown
ENSG00000169612	NA	brown
ENSG00000070214	NA	brown
ENSG00000164830	NA	brown
ENSG00000164144	NA	brown
ENSG00000184939	NA	brown
ENSG00000197045	NA	brown
ENSG00000066654	NA	brown
ENSG00000091039	NA	brown
ENSG00000164305	NA	brown
ENSG00000085365	NA	brown
ENSG00000161813	NA	brown
ENSG00000164631	NA	brown
ENSG00000164414	NA	brown
ENSG00000181666	NA	brown
ENSG00000082213	NA	brown
ENSG00000183323	NA	brown
ENSG00000168724	NA	brown
ENSG00000173575	NA	brown
ENSG00000198040	NA	brown
ENSG00000174652	NA	brown
ENSG00000175305	NA	brown
ENSG00000164190	NA	brown
ENSG00000163946	NA	brown
ENSG00000205765	NA	brown
ENSG00000008869	NA	brown
ENSG00000184445	NA	brown
ENSG00000167220	NA	brown
ENSG00000085274	NA	brown
ENSG00000171469	NA	brown
ENSG00000076321	NA	brown
ENSG00000067992	NA	brown
ENSG00000185246	NA	brown
ENSG00000197563	NA	brown
ENSG00000176102	NA	brown
ENSG00000092978	NA	brown
ENSG00000168556	NA	brown
ENSG00000168096	NA	brown
ENSG00000179119	NA	brown
ENSG00000188206	NA	brown
ENSG00000182986	NA	brown
ENSG00000005700	NA	brown
ENSG00000165219	NA	brown
ENSG00000162980	NA	brown
ENSG00000198538	NA	brown
ENSG00000163257	NA	brown
ENSG00000165105	NA	brown
ENSG00000163898	NA	brown
ENSG00000197323	NA	brown
ENSG00000196214	NA	brown
ENSG00000171466	NA	brown
