	gene_id	unqlen	simple	genename	genetype
TRDD1	ENSG00000223997.1	8	ENSG00000223997	TRDD1	TR_D_gene
TRDD2	ENSG00000237235.2	9	ENSG00000237235	TRDD2	TR_D_gene
IGHD7-27	ENSG00000236597.1	11	ENSG00000236597	IGHD7-27	IG_D_gene
TRDD3	ENSG00000228985.1	13	ENSG00000228985	TRDD3	TR_D_gene
IGHD4-17	ENSG00000227800.1	16	ENSG00000227800	IGHD4-17	IG_D_gene
IGHD4-11	ENSG00000232543.2	16	ENSG00000232543	IGHD4-11	IG_D_gene
IGHD4-4	ENSG00000233655.1	16	ENSG00000233655	IGHD4-4	IG_D_gene
IGHD1-14	ENSG00000227108.1	17	ENSG00000227108	IGHD1-14	IG_D_gene
IGHD1-1	ENSG00000236170.1	17	ENSG00000236170	IGHD1-1	IG_D_gene
IGHD1-20	ENSG00000237020.1	17	ENSG00000237020	IGHD1-20	IG_D_gene
IGHD1-7	ENSG00000237197.1	17	ENSG00000237197	IGHD1-7	IG_D_gene
IGHD1OR15-1B	ENSG00000270185.1	17	ENSG00000270185	IGHD1OR15-1B	IG_D_gene
IGHD1OR15-1A	ENSG00000271336.1	17	ENSG00000271336	IGHD1OR15-1A	IG_D_gene
IGHD6-25	ENSG00000225825.1	18	ENSG00000225825	IGHD6-25	IG_D_gene
IGHD6-6	ENSG00000228131.1	18	ENSG00000228131	IGHD6-6	IG_D_gene
IGHD4-23	ENSG00000227196.1	19	ENSG00000227196	IGHD4-23	IG_D_gene
IGHD4OR15-4B	ENSG00000270451.1	19	ENSG00000270451	IGHD4OR15-4B	IG_D_gene
IGHD4OR15-4A	ENSG00000271317.1	19	ENSG00000271317	IGHD4OR15-4A	IG_D_gene
IGHD1-26	ENSG00000211907.1	20	ENSG00000211907	IGHD1-26	IG_D_gene
IGHD5-24	ENSG00000211909.1	20	ENSG00000211909	IGHD5-24	IG_D_gene
IGHD5-18	ENSG00000211915.1	20	ENSG00000211915	IGHD5-18	IG_D_gene
IGHD5-5	ENSG00000211928.1	20	ENSG00000211928	IGHD5-5	IG_D_gene
IGHD6-19	ENSG00000211914.1	21	ENSG00000211914	IGHD6-19	IG_D_gene
IGHD6-13	ENSG00000211920.1	21	ENSG00000211920	IGHD6-13	IG_D_gene
IGHD5-12	ENSG00000211921.1	23	ENSG00000211921	IGHD5-12	IG_D_gene
IGHD5OR15-5B	ENSG00000270824.1	23	ENSG00000270824	IGHD5OR15-5B	IG_D_gene
IGHD5OR15-5A	ENSG00000270961.1	23	ENSG00000270961	IGHD5OR15-5A	IG_D_gene
AC006499.8	ENSG00000271544.1	23	ENSG00000271544	AC006499.8	processed_pseudogene
AC007620.1	ENSG00000239255.1	25	ENSG00000239255	AC007620.1	processed_pseudogene
IGHD2-21	ENSG00000211912.1	28	ENSG00000211912	IGHD2-21	IG_D_gene
IGHVIII-22-2	ENSG00000254045.1	28	ENSG00000254045	IGHVIII-22-2	IG_V_pseudogene
AC026333.1	ENSG00000255972.1	28	ENSG00000255972	AC026333.1	processed_pseudogene
AC130289.2	ENSG00000266416.1	28	ENSG00000266416	AC130289.2	processed_pseudogene
IGHD3-22	ENSG00000211911.1	31	ENSG00000211911	IGHD3-22	IG_D_gene
IGHD2-15	ENSG00000211918.1	31	ENSG00000211918	IGHD2-15	IG_D_gene
IGHD3-10	ENSG00000211923.1	31	ENSG00000211923	IGHD3-10	IG_D_gene
IGHD3-9	ENSG00000211924.1	31	ENSG00000211924	IGHD3-9	IG_D_gene
IGHD2-8	ENSG00000211925.1	31	ENSG00000211925	IGHD2-8	IG_D_gene
IGHD3-3	ENSG00000211930.1	31	ENSG00000211930	IGHD3-3	IG_D_gene
IGHD2-2	ENSG00000211931.1	31	ENSG00000211931	IGHD2-2	IG_D_gene
IGLJ4	ENSG00000211680.2	33	ENSG00000211680	IGLJ4	IG_J_gene
AC048382.3	ENSG00000259302.1	33	ENSG00000259302	AC048382.3	unprocessed_pseudogene
AC079598.3	ENSG00000258173.1	34	ENSG00000258173	AC079598.3	processed_pseudogene
RNA5SP243	ENSG00000252866.1	35	ENSG00000252866	RNA5SP243	rRNA
AC087258.2	ENSG00000256353.1	36	ENSG00000256353	AC087258.2	processed_pseudogene
